action_category,n,accuracy,avg_probability,actual_fg_pct,avg_absolute_error
hook,6017,0.5572544457370783,0.47910923,0.48146917068306466,0.4904130370202444
floater,20735,0.5645044610561852,0.45601884,0.4460573908849771,0.48996500714603664
turnaround,2265,0.5664459161147903,0.42828214,0.436644591611479,0.48363279611135424
fadeaway,7465,0.5899531145344943,0.42302707,0.41071667782987276,0.4802392197290045
other,614,0.5912052117263844,0.5126486,0.5195439739413681,0.4772323424099711
running_jump,6846,0.6155419222903885,0.39358613,0.3846041484078294,0.47379306371435587
jump_shot,62834,0.6253143202724639,0.37564743,0.37498806378712163,0.4658709558162567
pullup,28603,0.6245149110233192,0.392487,0.3792958780547495,0.4657269062738304
stepback,12442,0.6318919787815463,0.38151732,0.3699565986175856,0.46320335406213015
layup,56809,0.6222605573060607,0.5688144,0.5621996514636766,0.45655932862494364
dunk,14380,0.8636300417246175,0.8592704,0.8657162726008345,0.2218684742716821
